,faixa_etaria,genero,cidade,faixa_salarial,flag_filho,faixa_etaria_filho,dificuldade_infantil,reciclagem_tecido,objetivo_compra,dificuldade_compra,compra_roupa_usada,forma_trocou,seguranca_aplicativo,target
0,Entre 35 e 44 anos,Feminino,Osasco,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Sim,Entre 9 e 14 anos,Preço;,Não,Comprar mais barato,Crescimento;,Sim,Doou;Trocou;,Não,Não
1,Entre 54 e 59 anos,Feminino,Barueri,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Sim,Entre 15 e 17 anos,Crescimento;,Não,Comprar mais barato,Preço;,Não,Doou;,Sim,Sim
2,Menos de 18 anos,Masculino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Qualidade;Crescimento;,Não,Comprar mais barato,Qualidade;Crescimento;,Sim,Doou;,Sim,Sim
3,Menos de 18 anos,Feminino,Osasco,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Crescimento;,Não,Comprar mais barato,Preço;,Sim,Doou;,Sim,Sim
4,Menos de 18 anos,Masculino,Sao Paulo,Classe A: superior a R$ 22 mil,Não,Nao tem filhos,Crescimento;,Não,Chegue mais rápido,Crescimento;,Não,Doou;,Sim,Sim
5,Menos de 18 anos,Masculino,Sao Paulo,"Classe B: entre R$7,1 mil e R$ 22 mil",Não,Nao tem filhos,Preco;Qualidade;Crescimento;,Não,Comprar mais barato,Preco;Qualidade;,Não,Doou;Trocou;Recebeu;,Não,Sim
6,Menos de 18 anos,Prefiro não me identificar,Osasco,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preco;Qualidade;Crescimento;,Não,Comprar mais barato,Preco;Qualidade;Crescimento;,Sim,Doou;Trocou;Recebeu;,Não,Sim
7,Menos de 18 anos,Feminino,Sao Paulo,"Classe C: entre R$ 2,9 mil e R$ 7,1 mil",Não,Nao tem filhos,Preço;,Não,Comprar mais barato,Preco;Qualidade;,Não,Doou;,Não,Sim
8,Menos de 18 anos,Feminino,Osasco,"Classe D/E: até R$ 2,9 mil",Não,Nao tem filhos,Crescimento;,Não,Chegue mais rápido,Qualidade;,Sim,Recebeu;,Sim,Sim
9,Menos de 18 anos,Masculino,Sao Paulo,"Classe B: entre R$7,1 mil e R$ 22 mil",Não,Nao tem filhos,Preco;Crescimento;,Não,Comprar mais barato,Preco;Qualidade;,Sim,Doou;,Sim,Sim
